track_name,artist_name
Swords,Leftfield
Jungle Pulse,St. Etienne Daho
Capricorn,Raining Pleasure
Dead Joe,The Birthday Party / Lydia Lunch
Plastikman - Plastique,Ministry Of Sound
Unfinished Sympathy,Massive Attack
Tension Agreement,Glassacre
Come Wander With Me,Jeff Alexander
Sin Ti No Soy Nada,Amaral
Chasing Pavements,Adele
Aria Epica (Original Mix),Signalrunners
Numb,Archive
One Of Us,Abba
Triptico,Gotan Project
Goodbye,Air Supply
Remember You,Nacho Sotomayor
Planet Caravan,Black Sabbath
Do I Disappoint You,Rufus Wainwright
Mi Amor,Plastic Mode
"Lifeline (12"")",Spandau Ballet
Something'S Gotten Hold Of My Heart,Marc Almond
American Angel,George Michael
Tan Difícil,Federico Aubele
(Feels Like) Heaven,Fiction Factory
Walking On Sunshine,Katrina And The Waves
Stephen,Zbigniew Preisner
I Close My Eyes And Count To Ten,Dusty Springfield
Les Retrouvailles,Yann Tiersen
Fresh Off The Boat,Nelly Furtado
La Foule,Édith Piaf
Endless Dream,Conjure One
I Like The Way (Original Picasso),Miguel Picasso
Karma Police,Radiohead
Il Mio Regno,Luigi Tenco
Divine,Sébastien Tellier
Bad Day,Daniel Powter
Addicted,Amy Winehouse
I Am You,Nightmares On Wax
Thinking About You,Norah Jones
Pure Shores,All Saints
Syrup & Honey,Duffy
If There Was Love,Liza Minnelli
I Hate The Way,Polly Scattergood
Hello (Lionel Ritchie Cover),Black Harmony
Pain In Any Language (With Apollo Four Forty),Billy Mackenzie
Wild Is The Wind,Billy Mackenzie
Fourteen Mirrors,Billy Mackenzie
When The World Was Young,Billy Mackenzie
Nocturne Vii,Billy Mackenzie
Baby,Billy Mackenzie
Colours Will Come,Billy Mackenzie
Blue It Is,Billy Mackenzie
Winter Academy,Billy Mackenzie
Beyond The Sun,Billy Mackenzie
Sacrifice And Be Sacrificed,Billy Mackenzie
What Made Me Turn On The Lights,Billy Mackenzie
Look What You'Ve Done,Billy Mackenzie
At The Edge Of The World,Billy Mackenzie
Good To Know It,Craig Walker
Roscoe (Beyond The Wizard'S Sleeve Remix),Midlake
Golden Star,My Brightest Diamond
I Wish I Could Have Loved You More,Candie Payne
