track_name,artist_name
Piano Man,Billy Joel
Here Comes the Rain Again - Remastered Version,Eurythmics/Annie Lennox/Dave Stewart
Roll with the Changes,REO Speedwagon
You Might Think,The Cars
My Best Friend's Girl,The Cars
Just What I Needed,The Cars
Voodoo Child (Slight Return),Stevie Ray Vaughan
Hey Ya! - Radio Mix,OutKast
Can't Fight This Feeling,REO Speedwagon
Time for Me to Fly - As heard in the Netflix series Ozark,REO Speedwagon
Gettin' Jiggy Wit It,Will Smith
Forever Young - Fast Version,Bob Dylan
Metal Health (Bang Your Head),Quiet Riot
Scar Tissue,Red Hot Chili Peppers
Jump,Kris Kross
Wild Wild West (feat. Dru Hill & Kool Mo Dee) - Album Version With Intro,Will Smith/Dru Hill/Kool Moe Dee
Raspberry Beret,Prince
Take It On the Run,REO Speedwagon
Yellow Ledbetter,Pearl Jam
It's Like That,Run–D.M.C.
It's Tricky,Run–D.M.C.
Walk This Way (feat. Aerosmith),Run–D.M.C./Aerosmith
Any Way You Want It,Journey
All Along the Watchtower,Jimi Hendrix
Back In Black,AC/DC
