id,track_name,artist_name,album
78WVLOP9pN0G3gRLFy1rAa,Piano Man,Billy Joel,Piano Man
78RIER8V6EhrqVPOBi2GYa,Here Comes the Rain Again - Remastered Version,Eurythmics/Annie Lennox/Dave Stewart,Touch (Reissue - Deluxe Edition)
16x9viSmRS3PII71Pdeowc,Roll with the Changes,REO Speedwagon,"You Can Tune a Piano, But You Can't Tuna Fish"
7BvuV4c1BGhaRapcXvRu5z,You Might Think,The Cars,Heartbeat City
1SRkKyJ2JjMZgyDWC30zKv,My Best Friend's Girl,The Cars,The Cars
4alHo6RGd0D3OUbTPExTHN,Just What I Needed,The Cars,The Cars
1BhMUHjiQlwGlT5ZaMHHSf,Voodoo Child (Slight Return),Stevie Ray Vaughan,The Real Deal: Greatest Hits Volume 2
2PpruBYCo4H7WOBJ7Q2EwM,Hey Ya! - Radio Mix,OutKast,Speakerboxxx/The Love Below
5WwqdeavrQrbeAMDxGawse,Can't Fight This Feeling,REO Speedwagon,Wheels Are Turnin'
0cO7JEo8deKuQMWpDyjenY,Time for Me to Fly - As heard in the Netflix series Ozark,REO Speedwagon,"You Can Tune a Piano, But You Can't Tuna Fish"
0weAUscowxeqDtpCgtbpgp,Gettin' Jiggy Wit It,Will Smith,Big Willie Style
1C4yOUEjCUyPkxRDwwFksG,Forever Young - Fast Version,Bob Dylan,Planet Waves
28clONjZmul6FjfO6tZQDE,Metal Health (Bang Your Head),Quiet Riot,Metal Health
1G391cbiT3v3Cywg8T7DM1,Scar Tissue,Red Hot Chili Peppers,Californication (Deluxe Edition)
27AHAtAirQapVldIm4c9ZX,Jump,Kris Kross,Totally Krossed Out
5AMvBCtX2rspUdoeJ9IsPN,Wild Wild West (feat. Dru Hill & Kool Mo Dee) - Album Version With Intro,Will Smith/Dru Hill/Kool Moe Dee,Willennium
5jSz894ljfWE0IcHBSM39i,Raspberry Beret,Prince,Around the World in a Day
5gys5nzVQIYhgHIfiOJYva,Take It On the Run,REO Speedwagon,Hi Infidelity (30th Anniversary Edition)
3bE5slaVEfaDreqARl6k4M,Yellow Ledbetter,Pearl Jam,Jeremy
2J6QnTjHIWwXErNWyF0RUC,It's Like That,Run–D.M.C.,RUN-DMC (Expanded Edition)
6jBCehpNMkwFVF3dz4nLIW,It's Tricky,Run–D.M.C.,Raising Hell
6qUEOWqOzu1rLPUPQ1ECpx,Walk This Way (feat. Aerosmith),Run–D.M.C./Aerosmith,Raising Hell
71SvEDmsOwIWw1IozsZoMA,Any Way You Want It,Journey,Departure
2aoo2jlRnM3A0NyLQqMN2f,All Along the Watchtower,Jimi Hendrix,Electric Ladyland
08mG3Y1vljYA6bvDt4Wqkj,Back In Black,AC/DC,Back In Black
